trend; pattern; quantile; daysRet; mean; SE; t; paval
15;hammer;30;5;-0,0044703;0,00154332;-4,71552;1,40277e-006;***
15;hammer;30;10;-0,00448689;0,00225825;-4,42314;5,47793e-006;***
15;hammer;30;15;-0,00288657;0,00257843;-4,28532;1,01384e-005;***
15;hammer;30;20;-0,00138986;0,00298094;-4,09933;2,26502e-005;***
15;hammer;30;40;0,00898915;0,00409438;-3,06914;0,00110656;***
15;hammer;30;60;0,0164621;0,00499876;-3,18328;0,000753857;***
15;hammer;60;5;-0,00339229;0,00130947;-4,73441;1,24727e-006;***
15;hammer;60;10;-0,00260414;0,00199328;-4,06656;2,56205e-005;***
15;hammer;60;15;0,000444931;0,0022689;-3,4016;0,000347447;***
15;hammer;60;20;0,00355107;0,0026106;-2,78822;0,00269727;***
15;hammer;60;40;0,0104168;0,00359444;-3,09884;0,000996967;***
15;hammer;60;60;0,0140925;0,00441181;-4,14389;1,84323e-005;***
15;hammer;130;5;-0,00441925;0,00134386;-5,37743;4,63344e-008;***
15;hammer;130;10;-0,00346693;0,00200471;-4,47376;4,25157e-006;***
15;hammer;130;15;-0,000817151;0,00231115;-3,88551;5,41794e-005;***
15;hammer;130;20;0,00155238;0,0026655;-3,48062;0,00026016;***
15;hammer;130;40;0,0106973;0,00353453;-3,072;0,00108987;***
15;hammer;130;60;0,0153589;0,00445083;-3,82305;6,96903e-005;***
15;hammer;260;5;-0,00451665;0,0012794;-5,72451;6,56686e-009;***
15;hammer;260;10;-0,00181041;0,00247651;-2,95257;0,00160674;***
15;hammer;260;15;-0,000450492;0,00314869;-2,73553;0,0031605;***
15;hammer;260;20;0,000790684;0,00306333;-3,27725;0,000539306;***
15;hammer;260;40;0,00857311;0,00340549;-3,81216;7,24205e-005;***
15;hammer;260;60;0,0168784;0,00426917;-3,62978;0,000147878;***
15;piercing_lines;30;5;0,00305289;0,00134347;0,182816;0,427488; 
15;piercing_lines;30;10;0,00388161;0,00177712;-0,911616;0,181084; 
15;piercing_lines;30;15;0,00812745;0,00225152;-0,0157132;0,493733; 
15;piercing_lines;30;20;0,0104143;0,00284217;-0,146266;0,441869; 
15;piercing_lines;30;40;0,016521;0,00426369;-1,18076;0,118975; 
15;piercing_lines;30;60;0,0286356;0,00554081;-0,674807;0,249969; 
15;piercing_lines;60;5;0,00244638;0,001292;-0,279341;0,390014; 
15;piercing_lines;60;10;0,00269734;0,00170144;-1,6482;0,0497787;**
15;piercing_lines;60;15;0,00644071;0,00211033;-0,816046;0,207313; 
15;piercing_lines;60;20;0,00928312;0,00263997;-0,585945;0,279008; 
15;piercing_lines;60;40;0,0169335;0,00394457;-1,1717;0,120768; 
15;piercing_lines;60;60;0,0287863;0,00498927;-0,719206;0,236073; 
15;piercing_lines;130;5;0,00353304;0,00130773;0,554972;0,289504; 
15;piercing_lines;130;10;0,00288235;0,00171339;-1,52873;0,0632853;*
15;piercing_lines;130;15;0,00769162;0,00219395;-0,21478;0,414986; 
15;piercing_lines;130;20;0,0108781;0,00266395;0,0180604;0,492797; 
15;piercing_lines;130;40;0,0194563;0,00394239;-0,532438;0,297256; 
15;piercing_lines;130;60;0,0313928;0,00501557;-0,195749;0,422418; 
15;piercing_lines;260;5;0,00415735;0,00127049;1,06264;0,144064; 
15;piercing_lines;260;10;0,00462016;0,00166099;-0,530712;0,297851; 
15;piercing_lines;260;15;0,0101594;0,00210958;0,946434;0,172045; 
15;piercing_lines;260;20;0,0122134;0,00237419;0,582674;0,280103; 
15;piercing_lines;260;40;0,0193717;0,00339103;-0,643948;0,259857; 
15;piercing_lines;260;60;0,0329786;0,0044091;0,136982;0,445532; 
15;rising_three;30;5;0,00460571;0,0214951;0,0836664;0,467832; 
15;rising_three;30;10;0,00979547;0,0181588;0,236459;0,409923; 
15;rising_three;30;15;-0,00328215;0,0196204;-0,58332;0,28899; 
15;rising_three;30;20;-0,0162913;0,0223623;-1,21281;0,132269; 
15;rising_three;30;40;-0,0221735;0,0321539;-1,35999;0,108004; 
15;rising_three;30;60;-0,0172802;0,0673963;-0,736759;0,242612; 
15;rising_three;60;5;0,0148935;0,0181154;0,667178;0,258163; 
15;rising_three;60;10;0,00774352;0,015611;0,143607;0,444006; 
15;rising_three;60;15;0,00998899;0,0116572;0,156656;0,438961; 
15;rising_three;60;20;0,0275451;0,0157916;1,05848;0,154554; 
15;rising_three;60;40;0,0696745;0,0363255;1,32467;0,104049; 
15;rising_three;60;60;0,108377;0,0423146;1,79612;0,0478704;**
15;rising_three;130;5;0,00916293;0,0168528;0,377127;0,355681; 
15;rising_three;130;10;0,00149769;0,0143963;-0,278125;0,392357; 
15;rising_three;130;15;-0,00233999;0,0133233;-0,788307;0,221399; 
15;rising_three;130;20;-0,0137042;0,0273036;-0,898571;0,19154; 
15;rising_three;130;40;0,0329165;0,0468477;0,242512;0,405834; 
15;rising_three;130;60;0,0419235;0,0513533;0,185945;0,427489; 
15;rising_three;260;5;-0,00109552;0,0124414;-0,313696;0,379364; 
15;rising_three;260;10;-0,00578397;0,0128668;-0,877116;0,198172; 
15;rising_three;260;15;0,00359575;0,0163338;-0,279609;0,392088; 
15;rising_three;260;20;-0,010933;0,0287522;-0,756917;0,231299; 
15;rising_three;260;40;0,0318886;0,0450745;0,229247;0,411122; 
15;rising_three;260;60;0,0401104;0,0488728;0,158283;0,438333; 
15;morning_star;30;5;0,00166088;0,00285911;-0,400968;0,344456; 
15;morning_star;30;10;-0,00129278;0,00403316;-1,68465;0,0468807;**
15;morning_star;30;15;-0,00289991;0,00542014;-2,04104;0,0213413;**
15;morning_star;30;20;0,00101164;0,00594708;-1,65095;0,0502316;*
15;morning_star;30;40;0,000684445;0,00883644;-2,36192;0,00961565;***
15;morning_star;30;60;0,00957506;0,0110814;-2,05746;0,0205299;**
15;morning_star;60;5;0,00090064;0,00248635;-0,766845;0,221927; 
15;morning_star;60;10;-0,00010572;0,00354852;-1,5802;0,0576245;*
15;morning_star;60;15;0,000113006;0,00410653;-1,96025;0,0255052;**
15;morning_star;60;20;0,000905937;0,00473929;-2,094;0,0186034;**
15;morning_star;60;40;0,00336994;0,00712842;-2,55112;0,00564906;***
15;morning_star;60;60;0,0148764;0,0091344;-1,91563;0,0282419;**
15;morning_star;130;5;0,00401783;0,00252892;0,478678;0,316273; 
15;morning_star;130;10;0,00466718;0,00337044;-0,247587;0,402319; 
15;morning_star;130;15;0,0047639;0,00388786;-0,874244;0,191371; 
15;morning_star;130;20;0,00669635;0,00471429;-0,876832;0,190669; 
15;morning_star;130;40;0,0129235;0,00701144;-1,23111;0,109663; 
15;morning_star;130;60;0,0245467;0,00903411;-0,866479;0,193489; 
15;morning_star;260;5;0,00310253;0,00248067;0,119018;0,45267; 
15;morning_star;260;10;0,00222453;0,00329494;-0,994596;0,160361; 
15;morning_star;260;15;0,00340032;0,00390703;-1,21896;0,111901; 
15;morning_star;260;20;0,00468307;0,00462264;-1,32974;0,0922984;*
15;morning_star;260;40;0,0095442;0,00654536;-1,83507;0,0337345;**
15;morning_star;260;60;0,020979;0,00845773;-1,34737;0,0894311;*
15;dark_cloud_cover;30;5;-0,00482079;0,0012184;-6,26072;2,62748e-010;***
15;dark_cloud_cover;30;10;-0,00580765;0,00167864;-6,7372;1,22797e-011;***
15;dark_cloud_cover;30;15;-0,00830941;0,00214283;-7,68715;1,51328e-014;***
15;dark_cloud_cover;30;20;-0,0122722;0,00239006;-9,66594;1,1478e-021;***
15;dark_cloud_cover;30;40;-0,0242092;0,00344554;-13,2823;4,61811e-038;***
15;dark_cloud_cover;30;60;-0,0357558;0,0047447;-14,3593;1,0658e-043;***
15;dark_cloud_cover;60;5;-0,00449723;0,00116364;-6,27731;2,30469e-010;***
15;dark_cloud_cover;60;10;-0,00468787;0,00164637;-6,18909;3,98609e-010;***
15;dark_cloud_cover;60;15;-0,00746213;0,00206731;-7,55812;3,71823e-014;***
15;dark_cloud_cover;60;20;-0,0107124;0,00227534;-9,46776;5,99026e-021;***
15;dark_cloud_cover;60;40;-0,0220816;0,00320765;-13,604;6,17543e-040;***
15;dark_cloud_cover;60;60;-0,0315744;0,00437063;-14,6315;1,82881e-045;***
15;dark_cloud_cover;130;5;-0,00341136;0,0011286;-5,51007;2,12519e-008;***
15;dark_cloud_cover;130;10;-0,00340756;0,00162061;-5,49744;2,27974e-008;***
15;dark_cloud_cover;130;15;-0,00602074;0,00199833;-7,0977;9,96632e-013;***
15;dark_cloud_cover;130;20;-0,00870831;0,00222511;-8,78083;2,27788e-018;***
15;dark_cloud_cover;130;40;-0,0219324;0,00312345;-13,923;1,03337e-041;***
15;dark_cloud_cover;130;60;-0,032033;0,00423781;-15,1983;9,16671e-049;***
15;dark_cloud_cover;260;5;-0,0028774;0,00110766;-5,13216;1,60985e-007;***
15;dark_cloud_cover;260;10;-0,00477585;0,00152862;-6,72338;1,23723e-011;***
15;dark_cloud_cover;260;15;-0,00833103;0,00189374;-8,70969;3,77494e-018;***
15;dark_cloud_cover;260;20;-0,0102835;0,0021022;-10,0435;2,37759e-023;***
15;dark_cloud_cover;260;40;-0,0210399;0,00296456;-14,3682;2,18833e-044;***
15;dark_cloud_cover;260;60;-0,0306031;0,00389192;-16,1817;6,60381e-055;***
15;falling_three;30;5;0,0097719;0,0117377;0,593352;0,292435; 
15;falling_three;30;10;0,0296168;0,00950913;2,536;0,0321267;**
15;falling_three;30;15;0,00796893;0,0165415;-0,0117226;0,495604; 
15;falling_three;30;20;-0,0100399;0,0247814;-0,84216;0,223553; 
15;falling_three;30;40;-0,00049195;0,043017;-0,512526;0,317643; 
15;falling_three;30;60;-0,0348764;0,0568664;-1,18261;0,151228; 
15;falling_three;60;5;-0,00667505;0,0195955;-0,483903;0,326877; 
15;falling_three;60;10;0,00761472;0,0163888;0,128933;0,451817; 
15;falling_three;60;15;-0,00841278;0,0289088;-0,573376;0,298543; 
15;falling_three;60;20;-0,0207394;0,0311047;-1,01494;0,183768; 
15;falling_three;60;40;5,05e-006;0,0425405;-0,506584;0,319547; 
